Time,Open,High,Low,Close,Volume
2021-02-25T23:47+01:00[Europe/Zurich],0.031499,0.031544,0.031473,0.031485,339.849
2021-02-25T23:48+01:00[Europe/Zurich],0.031485,0.031521,0.031484,0.031495,121.181
2021-02-25T23:49+01:00[Europe/Zurich],0.031501,0.031553,0.031497,0.031528,283.918
2021-02-25T23:50+01:00[Europe/Zurich],0.031528,0.031562,0.031516,0.031539,239.593
2021-02-25T23:51+01:00[Europe/Zurich],0.031545,0.03157,0.031482,0.031507,143.452
2021-02-25T23:52+01:00[Europe/Zurich],0.031506,0.031516,0.031458,0.03149,168.456
2021-02-25T23:53+01:00[Europe/Zurich],0.031488,0.031525,0.031459,0.031516,176.199
2021-02-25T23:54+01:00[Europe/Zurich],0.031515,0.031566,0.031501,0.031544,78.52
2021-02-25T23:55+01:00[Europe/Zurich],0.031556,0.031558,0.031504,0.031514,128.924
2021-02-25T23:56+01:00[Europe/Zurich],0.031514,0.031545,0.031502,0.031522,112.376
2021-02-25T23:57+01:00[Europe/Zurich],0.031526,0.031549,0.031515,0.031523,63.593
2021-02-25T23:58+01:00[Europe/Zurich],0.031527,0.031537,0.031493,0.031497,173.846
2021-02-25T23:59+01:00[Europe/Zurich],0.031495,0.031501,0.031438,0.031469,167.027
2021-02-26T00:00+01:00[Europe/Zurich],0.031448,0.031465,0.031414,0.031465,252.124
2021-02-26T00:01+01:00[Europe/Zurich],0.031465,0.031484,0.031413,0.031438,105.9
2021-02-26T00:02+01:00[Europe/Zurich],0.031423,0.031438,0.031389,0.031392,193.999
2021-02-26T00:03+01:00[Europe/Zurich],0.031395,0.031422,0.03137,0.031418,670.036
2021-02-26T00:04+01:00[Europe/Zurich],0.031422,0.031445,0.031399,0.031411,170.434
2021-02-26T00:05+01:00[Europe/Zurich],0.031411,0.031465,0.031406,0.031461,186.997
2021-02-26T00:06+01:00[Europe/Zurich],0.031464,0.031509,0.031456,0.031508,166.912
2021-02-26T00:07+01:00[Europe/Zurich],0.031508,0.031513,0.031436,0.031441,201.226
2021-02-26T00:08+01:00[Europe/Zurich],0.031448,0.031464,0.03142,0.031439,136.529
2021-02-26T00:09+01:00[Europe/Zurich],0.031439,0.031483,0.031412,0.031473,127.919
2021-02-26T00:10+01:00[Europe/Zurich],0.031469,0.031492,0.031456,0.031475,81.59
2021-02-26T00:11+01:00[Europe/Zurich],0.031459,0.031483,0.031452,0.031469,60.392
2021-02-26T00:12+01:00[Europe/Zurich],0.03147,0.03149,0.031437,0.031459,157.307
2021-02-26T00:13+01:00[Europe/Zurich],0.031475,0.031572,0.031475,0.031534,161.324
2021-02-26T00:14+01:00[Europe/Zurich],0.031537,0.031563,0.031502,0.031518,115.27
2021-02-26T00:15+01:00[Europe/Zurich],0.031519,0.031543,0.031507,0.031516,78.396
2021-02-26T00:16+01:00[Europe/Zurich],0.031518,0.031577,0.031517,0.031571,114.984
2021-02-26T00:17+01:00[Europe/Zurich],0.031575,0.031608,0.031567,0.031605,88.457
2021-02-26T00:18+01:00[Europe/Zurich],0.031599,0.031604,0.031509,0.031512,224.036
2021-02-26T00:19+01:00[Europe/Zurich],0.031515,0.031544,0.031505,0.031521,363.532
2021-02-26T00:20+01:00[Europe/Zurich],0.03152,0.031557,0.031508,0.031531,452.421
2021-02-26T00:21+01:00[Europe/Zurich],0.031532,0.031581,0.031527,0.031558,343.597
2021-02-26T00:22+01:00[Europe/Zurich],0.031556,0.031593,0.031549,0.031583,292.874
2021-02-26T00:23+01:00[Europe/Zurich],0.031584,0.031603,0.031584,0.031593,98.286
2021-02-26T00:24+01:00[Europe/Zurich],0.031592,0.031592,0.031547,0.031563,119.915
2021-02-26T00:25+01:00[Europe/Zurich],0.031563,0.031563,0.03153,0.03155,106.459
2021-02-26T00:26+01:00[Europe/Zurich],0.03155,0.031554,0.0315,0.031509,155.378
2021-02-26T00:27+01:00[Europe/Zurich],0.031514,0.031514,0.031478,0.031486,163.518
2021-02-26T00:28+01:00[Europe/Zurich],0.031488,0.031499,0.031433,0.031447,106.568
2021-02-26T00:29+01:00[Europe/Zurich],0.031453,0.031464,0.031426,0.031441,104.782
2021-02-26T00:30+01:00[Europe/Zurich],0.031442,0.031474,0.031428,0.031464,88.492
2021-02-26T00:31+01:00[Europe/Zurich],0.031463,0.031477,0.031453,0.031463,114.737
2021-02-26T00:32+01:00[Europe/Zurich],0.031462,0.031496,0.031456,0.031476,287.245
2021-02-26T00:33+01:00[Europe/Zurich],0.031471,0.031483,0.031425,0.031425,131.6
2021-02-26T00:34+01:00[Europe/Zurich],0.031425,0.031425,0.031394,0.031395,185.906
2021-02-26T00:35+01:00[Europe/Zurich],0.031404,0.03142,0.031379,0.031408,272.476
2021-02-26T00:36+01:00[Europe/Zurich],0.031404,0.031417,0.031351,0.031358,209.454
2021-02-26T00:37+01:00[Europe/Zurich],0.031363,0.031381,0.031355,0.031369,126.715
2021-02-26T00:38+01:00[Europe/Zurich],0.031369,0.031392,0.03136,0.031381,158.202
2021-02-26T00:39+01:00[Europe/Zurich],0.031373,0.031387,0.031201,0.031201,800.636
2021-02-26T00:40+01:00[Europe/Zurich],0.031201,0.031249,0.031172,0.03122,742.499
2021-02-26T00:41+01:00[Europe/Zurich],0.031208,0.031309,0.031147,0.031226,844.58
2021-02-26T00:42+01:00[Europe/Zurich],0.031227,0.031234,0.031195,0.031227,252.923
2021-02-26T00:43+01:00[Europe/Zurich],0.031227,0.031288,0.031199,0.031204,742.549
2021-02-26T00:44+01:00[Europe/Zurich],0.031205,0.031237,0.031182,0.031207,369.102
2021-02-26T00:45+01:00[Europe/Zurich],0.031208,0.031229,0.03118,0.031206,635.154
2021-02-26T00:46+01:00[Europe/Zurich],0.031207,0.031215,0.031125,0.031132,465.345
2021-02-26T00:47+01:00[Europe/Zurich],0.031132,0.031182,0.031118,0.031169,369.413
2021-02-26T00:48+01:00[Europe/Zurich],0.031155,0.031156,0.031056,0.031082,1569.905
2021-02-26T00:49+01:00[Europe/Zurich],0.031082,0.031162,0.031072,0.031162,490.701
2021-02-26T00:50+01:00[Europe/Zurich],0.031165,0.031172,0.031084,0.031117,299.05
2021-02-26T00:51+01:00[Europe/Zurich],0.031118,0.03118,0.031078,0.031167,208.513
2021-02-26T00:52+01:00[Europe/Zurich],0.031157,0.031314,0.031153,0.031313,436.348
2021-02-26T00:53+01:00[Europe/Zurich],0.031309,0.031328,0.031235,0.031258,220.194
2021-02-26T00:54+01:00[Europe/Zurich],0.031266,0.031287,0.031234,0.031243,174.388
